2021年10月21日16时58分37秒	JJparents-11  执行步骤:返回自由桌界面
2021年10月21日16时58分33秒	JJparents-6  执行步骤:等待报名
2021年10月21日16时58分30秒	JJparents-6  执行步骤:点开报名界面
2021年10月21日16时58分30秒	JJparents-6  执行步骤:获取进入场
2021年10月21日16时58分30秒	JJparents-6  执行步骤:更新昵称
2021年10月21日16时58分30秒	JJparents-6  执行步骤:更新金币数
2021年10月21日16时58分30秒	JJparents-6  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时58分30秒	JJparents-6  执行步骤:询问是否继续打二麻
2021年10月21日16时58分29秒	JJparents-2  执行步骤:登录失败
2021年10月21日16时58分29秒	JJparents-2  执行步骤:登录结果:账号被封
2021年10月21日16时58分27秒	JJparents-6  执行步骤:返回自由桌界面
2021年10月21日16时58分25秒	JJparents-10  执行步骤:运行JJ斗地主app
2021年10月21日16时58分25秒	JJparents-10  执行步骤:绑定模拟器
2021年10月21日16时58分25秒	绑定模拟器 name:JJparents-10 hwnd:1643184
2021年10月21日16时58分20秒	JJparents-10  执行步骤:清除模拟器数据
2021年10月21日16时58分20秒	JJparents-2  执行步骤:登录失败
2021年10月21日16时58分20秒	JJparents-2  执行步骤:登录结果:账号被封
2021年10月21日16时58分9秒	JJparents-10  执行步骤:打开模拟器
2021年10月21日16时58分4秒	JJparents-10  执行步骤:关闭模拟器
2021年10月21日16时58分4秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月21日16时58分1秒	JJparents-6  执行步骤:进入游戏获取对局ID
2021年10月21日16时57分56秒	JJparents-1  执行步骤:进入游戏获取对局ID
2021年10月21日16时57分56秒	JJparents-9  执行步骤:进入游戏获取对局ID
2021年10月21日16时57分56秒	JJparents-11  执行步骤:进入游戏获取对局ID
2021年10月21日16时57分53秒	JJparents-15  执行步骤:金币不足
2021年10月21日16时57分53秒	JJparents-6  执行步骤:3秒后开始报名
2021年10月21日16时57分53秒	JJparents-6  执行步骤:等待报名
2021年10月21日16时57分51秒	JJparents-6  执行步骤:点开报名界面
2021年10月21日16时57分51秒	JJparents-6  执行步骤:获取进入场
2021年10月21日16时57分51秒	JJparents-6  执行步骤:更新昵称
2021年10月21日16时57分51秒	JJparents-6  执行步骤:更新金币数
2021年10月21日16时57分50秒	JJparents-6  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时57分50秒	JJparents-6  执行步骤:询问是否继续打二麻
2021年10月21日16时57分49秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月21日16时57分49秒	JJparents-9  执行步骤:3秒后开始报名
2021年10月21日16时57分49秒	JJparents-11  执行步骤:3秒后开始报名
2021年10月21日16时57分49秒	JJparents-15  执行步骤:3秒后开始报名
2021年10月21日16时57分49秒	JJparents-1  执行步骤:等待报名
2021年10月21日16时57分48秒	JJparents-9  执行步骤:等待报名
2021年10月21日16时57分47秒	JJparents-6  执行步骤:返回自由桌界面
2021年10月21日16时57分46秒	JJparents-1  执行步骤:点开报名界面
2021年10月21日16时57分46秒	JJparents-1  执行步骤:获取进入场
2021年10月21日16时57分46秒	JJparents-1  执行步骤:更新昵称
2021年10月21日16时57分46秒	JJparents-1  执行步骤:更新金币数
2021年10月21日16时57分46秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时57分46秒	JJparents-1  执行步骤:询问是否继续打二麻
2021年10月21日16时57分46秒	JJparents-9  执行步骤:点开报名界面
2021年10月21日16时57分46秒	JJparents-9  执行步骤:获取进入场
2021年10月21日16时57分46秒	JJparents-9  执行步骤:更新昵称
2021年10月21日16时57分46秒	JJparents-9  执行步骤:更新金币数
2021年10月21日16时57分46秒	JJparents-9  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时57分46秒	JJparents-9  执行步骤:询问是否继续打二麻
2021年10月21日16时57分43秒	JJparents-1  执行步骤:返回自由桌界面
2021年10月21日16时57分42秒	JJparents-9  执行步骤:返回自由桌界面
2021年10月21日16时57分37秒	JJparents-5  执行步骤:修改密码
2021年10月21日16时57分32秒	JJparents-11  执行步骤:等待报名
2021年10月21日16时57分30秒	JJparents-11  执行步骤:点开报名界面
2021年10月21日16时57分30秒	JJparents-11  执行步骤:获取进入场
2021年10月21日16时57分30秒	JJparents-11  执行步骤:更新昵称
2021年10月21日16时57分30秒	JJparents-11  执行步骤:更新金币数
2021年10月21日16时57分29秒	JJparents-11  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时57分29秒	JJparents-11  执行步骤:询问是否继续打二麻
2021年10月21日16时57分27秒	JJparents-15  执行步骤:等待报名
2021年10月21日16时57分26秒	JJparents-11  执行步骤:返回自由桌界面
2021年10月21日16时57分25秒	JJparents-15  执行步骤:点开报名界面
2021年10月21日16时57分25秒	JJparents-15  执行步骤:获取进入场
2021年10月21日16时57分25秒	JJparents-15  执行步骤:更新昵称
2021年10月21日16时57分24秒	JJparents-15  执行步骤:更新金币数
2021年10月21日16时57分17秒	JJparents-2  执行步骤:运行JJ斗地主app
2021年10月21日16时57分17秒	JJparents-2  执行步骤:绑定模拟器
2021年10月21日16时57分17秒	绑定模拟器 name:JJparents-2 hwnd:1446504
2021年10月21日16时57分15秒	JJparents-5  执行步骤:登录结果:登录成功
2021年10月21日16时57分9秒	JJparents-2  执行步骤:清除模拟器数据
2021年10月21日16时57分7秒	JJparents-11  执行步骤:进入游戏获取对局ID
2021年10月21日16时57分6秒	JJparents-9  执行步骤:进入游戏获取对局ID
2021年10月21日16时57分6秒	JJparents-1  执行步骤:进入游戏获取对局ID
2021年10月21日16时57分6秒	JJparents-6  执行步骤:进入游戏获取对局ID
2021年10月21日16时57分1秒	JJparents-15  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时57分	JJparents-15  执行步骤:登录结果:登录成功
2021年10月21日16时56分59秒	JJparents-2  执行步骤:打开模拟器
2021年10月21日16时56分58秒	JJparents-9  执行步骤:3秒后开始报名
2021年10月21日16时56分58秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月21日16时56分58秒	JJparents-6  执行步骤:3秒后开始报名
2021年10月21日16时56分58秒	JJparents-11  执行步骤:3秒后开始报名
2021年10月21日16时56分58秒	JJparents-9  执行步骤:等待报名
2021年10月21日16时56分58秒	JJparents-11  执行步骤:等待报名
2021年10月21日16时56分56秒	JJparents-6  执行步骤:等待报名
2021年10月21日16时56分56秒	JJparents-9  执行步骤:点开报名界面
